name,id,desciption,category,buyprice,sellprice,marketvalue,circulation
Hard Drive ,45,A large hard drive to extend your computer's storage capacity.,Other,$0 ,$65 ,$222 ,"2,437,637"
Tank Top ,46,A stylish low cut tank top.,Clothing,$0 ,$32 ,$195 ,"2,565,818"
Trainers ,47,A nice pair of trainers.,Clothing,$0 ,$35 ,$226 ,"3,083,259"
Jacket ,48,A very stylish summer jacket.,Clothing,$0 ,$40 ,$233 ,"169,624,181"
Full Body Armor ,49,Full body armor made of high-grade bulletproof material. It will absorb some of the damage from hits taken by the wearer.,Defensive,"$75,000 ","$60,000 ","$59,726 ","409,418"
Outer Tactical Vest ,50,"Despite the Combat Vest offering improved protection, its predecessor the Outer Tactical Vest is far from obsolete. The increased survivability and enhanced maneuverability provided makes it a more than worthwhile addition to your combat wardrobe.",Defensive,"$1,000,000 ","$750,000 ","$748,806 ","85,696"
Plain Silver Ring ,51,A simple silver ring.,Jewelry,$100 ,$55 ,$250 ,"6,393,826"
Sapphire Ring ,52,A sapphire ring.,Jewelry,$300 ,$125 ,$695 ,"4,955,178"
Gold Ring ,53,A solid gold ring.,Jewelry,$530 ,$260 ,$450 ,"7,793,928"
Diamond Ring ,54,An expensive diamond ring.,Jewelry,"$5,000 ","$2,700 ","$2,827 ","3,133,247"
Pearl Necklace ,55,Matched cultured pearls in an understated but elegant setting.,Jewelry,$0 ,$35 ,$479 ,"4,602,712"
Silver Necklace ,56,A silver necklace featuring a pattern of semi-precious stones.,Jewelry,$0 ,$95 ,$293 ,"2,084,883"
Gold Necklace ,57,A mesmerizing spiral of 14-karat gold.,Jewelry,$0 ,$185 ,$385 ,"3,088,710"
Plastic Watch ,58,This watch is absolutely accurate at least twice a day.,Jewelry,$0 ,$20 ,$383 ,"1,688,344"
Stainless Steel Watch ,59,"Continues working when dropped, stepped on, or hit with a rubber mallet.",Jewelry,$0 ,$70 ,$254 ,"1,907,636"
Gold Watch ,60,Elegance and luxury at sixty seconds per minute.,Jewelry,$0 ,$225 ,$706 ,"11,134,383"
Personal Computer ,61,A high-tech personal computer. Can be used to program viruses.,Tool,"$1,350 ",$300 ,$456 ,"7,191,657"
Microwave ,62,A brand new microwave.,Other,$0 ,$150 ,$571 ,"1,461,921"
Minigun ,63,"This gun has a 200-round magazine. When you are done with a burst, your enemy will be in fragments.",Primary,"$3,000,000 ","$1,250,000 ","$1,353,590 ","88,239"
Pack of Cuban Cigars ,64,"A pack of great quality, very expensive Cuban cigars.",Other,$400 ,$295 ,$651 ,"4,863,478"
Television ,65,A king size Sony TV screen.,Special,$0 ,$250 ,$794 ,"2,098,260"
Morphine ,66,"Known on the street as Miss Emma, Morphine is a potent opiate painkiller whose addictive qualities are less than ladylike. With one shot, you'll be taken on a high-speed trip to your happy place, a pleasant destination where your leg is in one piece and your face is no longer mangled beyond repair.",Medical,"$20,000 ","$10,000 ","$14,764 ","34,694,747"
First Aid Kit ,67,"This comprehensive collection of medical necessities contains everything you need to treat burns, blood loss, and broken bones. Whether you're bleeding out on the battlefield or you've slipped in the bath and sat on a shampoo bottle, you'll be back on your feet in moments.",Medical,"$15,000 ","$7,500 ","$11,441 ","22,545,327"
Small First Aid Kit ,68,"A small medical kit containing bandages, gauze, and antiseptic wipes. There's not enough in here to put someone's guts back in, but you'll have no problem patching up a minor flesh-wound or a nasty boo-boo on your knee.",Medical,"$7,500 ","$3,750 ","$4,793 ","32,486,564"
Simple Virus ,69,A very simple virus that was written by an amateur.,Tool,$0 ,$500 ,"$2,774 ","2,082,390"
Polymorphic Virus ,70,Polymorphic viruses are semi-sentient: they adapt themselves with each infection. With a virus-writing toolkit you can even design new viruses.,Tool,$0 ,"$4,500 ","$233,826 ","140,779"
Tunneling Virus ,71,This virus will attempt to tunnel under anti-virus monitoring programs in order to bypass their monitoring functions.,Tool,$0 ,"$10,000 ","$221,870 ","161,549"
Armored Virus ,72,This virus attempts to make disassembly difficult. Great for systems with weak virus protection.,Tool,$0 ,"$75,000 ","$399,999 ","60,328"
Stealth Virus ,73,"In order to avoid detection, a virus will often take over virus protection system functions likely to spot it and use them to hide itself. An extremely hard virus to write.",Tool,$0 ,"$200,000 ","$3,146,295 ","222,961"
Santa Hat '04 ,74,A well crafted Santa hat made especially for the 2004 Christmas!,Collectible,$0 ,$0 ,$0 ,21
Christmas Cracker '04 ,75,An expensive Christmas cracker made especially for the 2004 Christmas!,Collectible,$0 ,$0 ,$0 ,29
Snow Cannon ,76,"A very rare special weapon, made and crafted by Santa himself!",Primary,$0 ,$0 ,$0 ,139
Tabata RM2 ,77,"Considered a must-have for those in Class D, the Japanese-made Tabata RM2 possesses a stunning amount of top-end speed - just make sure you leave yourself plenty of time to stop! This vehicle is a great Class D option on long tarmac tracks.",Car,$0 ,"$29,000 ","$28,734 ","1,821,073"
Edomondo NSX ,78,"Edomondo's NSX is often at the top of most drivers' list when they reach Class A, and is a must-have for those who consider themselves an elite racer. If you're looking to set records on a track that will test your car's handling and braking, the NSX has no equal, with this model finding its home on some of Torn's most testing tracks.",Car,$0 ,"$40,000 ","$39,827 ","1,862,743"
Echo Quadrato ,79,"Echo' Quadrato is a popular among both the ladies and the lads, as its streamlined exterior means it has no problem getting up to speed from a cold start. Sadly, European road laws mean this vehicle is limited when it comes to speed, hence why it tops out at a measly 155mph.",Car,"$85,000 ","$55,000 ","$53,042 ","102,434"
Bavaria M5 ,80,"Class B racers whose budget can't stretch to a Colina Tanprice could do much worse than a Bavaria M5. The fastest 4-door saloon of its type, the M5 model has a top speed of 186mph, but it will take some time to get there due to its subpar acceleration ability.",Car,$0 ,"$43,000 ","$43,227 ","89,170"
Bavaria Z8 ,81,"The Bavaria Z8's rear wheel drive means it can often struggle for grip off the line, so if you're heading to a drag race you'll probably want something a little more reactive. But if you're taking this Class C car down a few windy roads, the Z8's poise and balance make this car stable under braking, giving you a crucial speed advantage on corners.",Car,$0 ,"$80,000 ","$79,880 ","294,791"
Chevalier CZ06 ,82,"Like most American cars, Chevalier's CZ06 doesn't handle particularly well. But what it lacks in maneuverability it more than makes up for with a sky-high top speed thanks to its glorious 7 liter V8 engine. The CZ06 is one of the most popular options for Class C drivers as it is the fastest in its class.",Car,"$75,000 ","$50,000 ","$54,776 ","146,349"
Dart Rampager ,83,"An all-American icon, the Dart Rampager is as fast as it is chaotic, with this vehicle treating corners as a suggestion rather than a guide. You'll likely abandon the Dart once you've finished your time in Class B, but you can be sure that your ride to the top is an absolute gas.",Car,$0 ,"$69,000 ","$67,527 ","278,982"
Knight Firebrand ,84,"Weak cornering caused by severe understeer means that the Knight Firebrand relies heavily on its straight line speed in order to remain competitive. In that respect, the Firebrand can tussle with the best cars Class C has to offer - just don't expect it to do well in a small, country village.",Car,$0 ,"$59,000 ","$59,218 ","96,816"
Volt GT ,85,"Volt's GT model handles like a racing car should, but is slightly let down by its acceleration, despite its low weight. Nevertheless, this model is often unbeatable down at the Docks, and comes recommended as a versatile option for drivers who are new to Class A racing.",Car,$0 ,"$150,000 ","$150,040 ","305,488"
Invader H3 ,86,"This civilian version of a military favorite works fantastically on the dirt thanks to its superb braking ability, making it a fine, albeit slower Class D alternative to the Bavaria X5. You won't want to take this beast on the freeway, however, as not only is it highly unsuited to tarmac, you'll also look like a massive wally driving this through the city.",Car,$0 ,"$21,000 ","$34,755 ","133,925"
Echo S4 ,87,"The Echo S4's superb braking ability allows it to really dig in on the corners, making for a great exit speed once the turbos kick in. The S4 won't win any awards for acceleration due to its limiting four wheel drive system, but it remains a staple in the garage of many great Class B drivers.",Car,$0 ,"$13,000 ","$20,332 ","121,180"
Edomondo IR ,88,"The IR model is slow for its class and suffers from braking issues, but the superior handling for which Edomondo is known makes this a decent option for those battling away in Class C. Widely regarded as one of the best front-wheel drive cars of all time, the IR is the closest you'll get to a race car from a factory model.",Car,$0 ,"$15,000 ","$16,533 ","121,193"
Edomondo ACD ,89,"Edomondos are often blessed with great handling, and the ACD is no exception thanks to its wide wheelbase and stiff suspension springs. The car's weight is its biggest downfall, however, and this drags back the ACD's top speed to make it a mid-range option among Class D cars.",Car,$0 ,"$23,000 ","$22,278 ","1,646,380"
Edomondo Localé ,90,"The Edomondo Localé is popular among those new to racing due to its recommendation in Baldr's racing guide. In fact, so versatile is the Localé, that some drivers have been known to take it all the way from Class E to A, a strategy that allows them to save those precious racing points for future use.",Car,$0 ,"$9,000 ","$34,205 ","284,753"
Verpestung Insecta ,91,"Described as one of the few good things to come out of WWII, the Verpestung Insecta's limited top speed may put some consumers off this cheap and cheerful vehicle. But for Class D racers, the Insecta is a versatile motor whose handling allows it to compete with faster cars on short tarmac tracks full of sharp turns.",Car,$0 ,"$7,600 ","$8,955 ","225,414"
Chevalier CVR ,92,"Like most American cars, the Chevalier CVR simply cannot take a corner, so you're limited as to what you can achieve with this vehicle. What you do get is a beast of an engine at 2,800cc, so don't be surprised if you see the CVR zipping past you midway through a Class D race, only to let you pass with ease on the inside.",Car,$0 ,"$5,600 ","$7,389 ","231,361"
Volt MNG ,93,"Volt's MNG is an iconic car for one reason and one reason alone - it is literally unstoppable. Its combination of an extreme top speed and brakes made of sponge means you're just as likely to see the back of an ambulance as you are the chequered flag when driving this thing. Baldr's guide considers the MNG to be one of the best Class B cars around, but those in the Torn City hospital refer to their drivers as organ donors.",Car,"$38,000 ","$17,000 ","$19,989 ","152,896"
Trident ,94,"As you might expect from a three wheeler, the Trident isn't much in terms of pace, and is actually one of the slowest cars available in Torn City. That being said, this iconic car's handling isn't too bad for an E class vehicle - just don't go heavy on the brakes into a sharp turn, or you may topple over!",Car,$0 ,"$7,000 ","$49,306 ","440,879"
Oceania SS ,95,"Pacy but poor out of the blocks is an apt description of the Oceania SS - but hey, it works for Usain Bolt! This Australian powerhouse comes recommended for class C tarmac races, but if you're approaching a corner you'd be advised to check your rear-view mirror, because nine times out of ten there will be someone on your shoulder.",Car,$0 ,"$25,000 ","$24,819 ","1,709,401"
Coat Hanger ,96,"A metal coat hanger, often used for picking the locks of cars.",Tool,$0 ,$2 ,"$19,693 ","269,388"
Bunch of Flowers ,97,"A bunch of flowers, a perfect gift!",Flower,$5 ,$3 ,$222 ,"29,513,038"
Neutrilux 2000 ,98,"Very rare: a Leprechaun's most powerful weapon, created out of green nuclear energy. Or at least, that's how the legend goes.",Primary,$0 ,$0 ,$0 ,9
Springfield 1911 ,99,"Steel and light weight aluminium frames, stainless, blued and parkerized finishes, V-12 barrel porting... What more could you want?",Secondary,$430 ,$300 ,$748 ,"105,259"
Egg Propelled Launcher ,100,"Very rare: the Easter Bunny's most powerful weapon, created out of jelly bean and chocolate egg technology.",Primary,$0 ,$0 ,$0 ,15
Bunny Suit ,101,"Very rare, and created out of the strongest fur yet discovered, this serves as the Easter Bunny's most stylish and most protective armor.",Clothing,$0 ,$0 ,$0 ,34
Chocolate Egg '05 ,102,"Every person's favourite treat, made for the 2005 Easter celebration!",Collectible,$0 ,$0 ,$0 ,64
Firewalk Virus ,103,This type of virus is unknown.,Tool,$0 ,$100 ,"$7,511,473 ","155,244"
Game Console ,104,"This Game Console is a generic gaming device exclusive to Torn City, and was made from parts cannibalized from an Xbox, PlayStation, and a Sega Saturn. Game Consoles are unique in that they actually bring people happiness when they put effort into them, unlike careers, relationships, or children.",Special,$0 ,$200 ,"$1,000 ","1,822,831"
Xbox ,105,A games console used for playing games.,Special,$0 ,$350 ,$0 ,0
Parachute ,106,A collapsible device used to retard the descent of a falling body.,Booster,"$450,000,000 ",$0 ,"$446,750,000 ","7,610"
Trench Coat ,107,A thick trench coat that covers most of the body.,Clothing,"$500,000 ","$325,000 ","$328,091 ","137,240"
9mm Uzi ,108,"This Uzi is a compact, boxy, light-weight sub machine gun used throughout the world as a police and special forces firearm.",Primary,"$1,100,000 ","$600,000 ","$600,221 ","53,410"
RPG Launcher ,109,The anti-tank RPG launcher is one of the most common and most effective infantry weapons in contemporary conflicts.,Secondary,$0 ,$0 ,$0 ,"1,316"
Leather Bullwhip ,110,"A whip made of rawhide. In the right hands, it can be a stealthy and deadly weapon. In the wrong hands...you may lose an eye!",Melee,"$1,500 ",$750 ,$678 ,"212,794"
Ninja Claws ,111,"Traditional ninja weapon for close combat, with four needle-sharp spikes.",Melee,"$8,000 ","$5,000 ","$4,740 ","79,578"
Test Trophy ,112,Test!,Collectible,$0 ,$0 ,$0 ,2
Pet Rock ,113,"One of the rarest items in Torn, first discovered by Matt. Warning: this pet is extremely dangerous! Only the very brave or the very stupid should take it on. Matt takes no responsibility for the loss of life or fingertips caused by this pet.",Collectible,$0 ,$0 ,$0 ,20
Non-Anon Doll ,114,The perfect gift for when you want to add insult to injury. Patented by Someone...,Collectible,$0 ,$0 ,$0 ,6
Poker Doll ,115,Feisty red haired doll made in the image of Peachy complete with bellybutton poking action!,Collectible,$0 ,$0 ,$0 ,20
Yoda Figurine ,116,Have a doll like Yoda You must.,Collectible,$0 ,$0 ,$0 ,15
Trojan Horse ,117,"This sweet gift from Tebbs seems innocently useful. Inside, it is highly infectious!",Collectible,$0 ,$0 ,$0 ,22
Doll's Head ,118,"A doll's head owned by the Evil Female Admin known as Wynn. Believed to be responsible for lost stats, site lag, mass kicks on IRC, and random deletions.",Collectible,$0 ,$0 ,$0 ,31
Rubber Ducky of Doom ,119,Most powerful weapon in the game can only be used by those with the knowledge to unleash its fearsome Duck Powers. Most often used after being asked the same n00b question for the 5th time in a row. Has also been seen dive bombing random people in IRC.,Collectible,$0 ,$0 ,$0 ,20
Teppic Bear ,120,"Only known of by a very select few, this Teddy Bear stands as proof that even the toughest of players, such as Teppic, do indeed have a softer side.",Collectible,$0 ,$0 ,$0 ,20
RockerHead Doll ,121,It has no uses and does nothing just like the staff member it resembles.,Collectible,$0 ,$0 ,$0 ,10
Mouser Doll ,122,"Similar to the one used by Mouser to relieve the stress of dealing with uncooperative staff, annoying n00bs, and day to day business of being a Coder in Torn City.",Collectible,$0 ,$0 ,$0 ,18
Elite Action Man ,123,Mimics the actions of the real man. Has been known to abuse Caps Lock Abusers.,Collectible,$0 ,$0 ,$0 ,20
Toy Reactor ,124,Miniature model of a Nuclear Reactor similar to the one that Sec. Les_Claypool will be working on when he leaves for the Navy.,Collectible,$0 ,$0 ,$0 ,17
Royal Doll ,125,This doll will give its user the feeling of being royalty just like KingAce while in possession. Player will receive special treatment from friends and rivals while carrying this special item!,Collectible,$0 ,$0 ,$0 ,19
Blue Dragon ,126,A blue dragon spawned from the evil TC admin named blue comes packed with evil intentions and wild powers.. Some say rubbing the dragons head makes one 100 times stronger than any normal man!,Collectible,$0 ,$0 ,$0 ,22
China Tea Set ,127,"Be just like Chedburn, sit in the garden and sip tea with this China Tea Set.",Collectible,$0 ,$0 ,$0 ,10
Mufasa Toy ,128,Replica of a plush toy owned by Randi it looks just like the majestic lion Mufasa... before he was trampled of course.,Collectible,$0 ,$0 ,$0 ,21
Dozen Roses ,129,"A dozen roses. This bouquet is available in assorted colors, from red for that special someone to black to send to your enemy after you hospitalize him or her.",Flower,$300 ,$250 ,$293 ,"3,887,673"
Skanky Doll ,130,"Just like the one owned by Infrit, this doll comes with blood red lipstick, a mini skirt, and a corset.",Collectible,$0 ,$0 ,$0 ,19
Lego Hurin ,131,This life like model is comprised completely of legos. Comes with upgrades such as the multi hunting goggles and evilarium connects to the brain. Read instructions for more details. Not intended for use by children age 6 and under.,Collectible,$0 ,$0 ,$0 ,18
Mystical Sphere ,132,A rare object created by Phyrax when he was a helper... Only possessed by a select few in all of Torn City. Every now and then lights and mist shoot out of the sphere and at this time the holder may obtain all knowledge and wisdom.,Collectible,$0 ,$0 ,$0 ,19
10 Ton Pacifier ,133,Used for that special baby out there.. the one you would like to crush because you just cant get them to stop crying. Drive this pacifier in their mouth and you will get dead silence. Created by Rock for all the babies out there.,Collectible,$0 ,$0 ,$0 ,20
Horse Toy ,134,"First seen by those who crossed the Godfather, this strange object greatly increases your desire to annoy people in the chat rooms, while simultaneously draining away all your religious beliefs.",Collectible,$0 ,$0 ,$0 ,16
Uriel's Speakers ,135,These tripped out speakers will blow you away with thundering bass and a beat that won't quit. Putting out 5000W with a crushing 600 decibels.,Collectible,$0 ,$0 ,$0 ,20
Strife Clown ,136,This Ominous Clown is full of discord. This rare item channels all the pain and torture this world has to offer.,Collectible,$0 ,$0 ,$0 ,17
Locked Teddy ,137,"This bear is covered in chains connected with padlocks. He has been seen locking forum topics around Torn City, but has yet to have any of his locks picked.",Collectible,$0 ,$0 ,$0 ,21
Riddle's Bat ,138,This baseball bat belongs to Riddle. All know it and most fear it. It causes panic in the IRC realm. Random kicks occur when he is in a bad mood or when mass slapping occurs. Don't mess with the bat!,Collectible,$0 ,$0 ,$0 ,20
Soup Nazi Doll ,139,"Often seen running loose on IRC, usually before kicking rule breakers with the message No Soup For You!! Believed to have been released by Lestat.",Collectible,$0 ,$0 ,$0 ,19
Pouncer Doll ,140,"Be careful of Pouncer. She might pounce on you unexpectedly, or hit you with a pillow or ducks, just like her creator SexySassy.",Collectible,$0 ,$0 ,$0 ,20
Spammer Doll ,141,"A very friendly doll with good interactions, until you make it mad. It can hit back pretty hard, and it will start spamming you, even when you think it should be sleeping, just like Templar.",Collectible,$0 ,$0 ,$0 ,20
Cookie Jar ,142,"Cookie Jar - Just like the one Is0lati0n has at home, this jar is stocked full of chocolate cookies for late nights working in the IRC channel.",Collectible,$0 ,$0 ,$0 ,35
Vanity Mirror ,143,Complete with 24 carat gold rim and handle with YT's initials engraved on it.,Collectible,$0 ,$0 ,$0 ,21
Banana Phone ,144,"Bright yellow, shaped like a banana, and plays Titan's favourite song when it rings. Known to annoy other staff members... may be part of the reason he loves it.",Collectible,$0 ,$0 ,$0 ,19
Xbox 360 ,145,A games console used for playing games.,Special,$0 ,$500 ,$0 ,0
Yasukuni Sword ,146,A rare Japanese blade of exceptional quality and craftsmanship.,Melee,$0 ,$0 ,"$203,339 ","43,027"
Rusty Sword ,147,An old rusty sword.,Melee,$0 ,$40 ,"$2,725 ","107,285"
Dance Toy ,148,Although its name refers to Syrup it's nothing near slow. Just press the button on the back and watch this crazy toy dance himself to death!,Collectible,$0 ,$0 ,$0 ,20
Lucky Dime ,149,"Found deep within a lost cavern in Torn City was a rare bag of dimes that were stolen during the first bank robbery in Torn City. They were thought to have been lost forever, but a few have survived and are said to bring luck to those who play roulette in the Casino.",Collectible,$0 ,$0 ,$0 ,31
Crystal Carousel ,150,Created by w1ld_h0rs3s this replica Carousel shows her favourite horses running wild and free.,Collectible,$0 ,$0 ,$0 ,20
Pixie Sticks ,151,"Small plastic tubes filled with flavoured sugar. Available in orange, raspberry, grape and strawberry. Provides a large happiness increase when consumed.",Candy,$0 ,$50 ,"$331,196 ","334,057"
Ice Sculpture ,152,"Some believe that the reclusive artist who carved these sculptures meant them to depict friendliness and good will. However, some who gaze on these rare pieces feel an icy coldness and a sinking detachment from the world. Only the artist knows his true intent.",Collectible,$0 ,$0 ,$0 ,20
Case of Whiskey ,153,Recovered during a raid at his Mansion this is the last case of Whiskey that mdshare produced before being captured by Torn City Police for violation of the alcohol ordinance.,Collectible,$0 ,$0 ,$0 ,20
Laptop ,154,A high-tech wireless laptop. You can use it on your long travels to check your mail and see how things are going at home.,Tool,$0 ,$400 ,$565 ,"1,478,740"
Purple Frog ,155,"A very rare species of frog that lives in Torn City. Sometimes seen on IRC hopping into people's pockets. Usually friendly, but can become extremely violent if provoked.",Collectible,$0 ,$0 ,$0 ,20
Hooorang's Key ,156,Hooorang's skeleton key lets you bypass any locked doors and open lockers and safes. Nothing can stop its holder. Holding this item makes you feel invincible.,Collectible,$0 ,$0 ,$0 ,23
Patriot Whip ,157,"UTBracket's own design, comes in either Union Jack or St. George style. Don't mess with the owner of this collectible or expect to have your day ruined by some painful marks on your butt and the ability to sit down removed!!",Collectible,$0 ,$0 ,$0 ,15
Statue Of Aeolus ,158,Aeolus Keeper of The Wind possess the power to control the strength and direction of the wind. A Greek Mystical Artifact with powers believed to be related to the wind.,Collectible,$0 ,$0 ,$0 ,20
Bolt Cutters ,159,"A pair of quality bolt cutters. Made of tempered steel with cushion-grip handles and durable, heat-treated jaws.",Tool,$25 ,$15 ,$578 ,"2,931,237"
Photographs ,160,Four photographs of a man handing over a briefcase.,Other,$0 ,$0 ,$0 ,"8,425"
Black Unicorn ,161,A friend for life and a ferocious fighter feared by all foes.,Collectible,$0 ,$0 ,$0 ,20
